Username,Comment
@sahilgoswami2.0,New video upload 🙂🙂😡😡😡😡😡 nahi to unsubscribe 😡😡😡
@gauraba.9028,❤❤❤❤❤❤❤❤
@Namdevbrothers,ये बार बार फिर वही वीडियो क्यों अपलोड किया जा रहा है 😮😮😮
@Live-Roster_1424,Movie sey Acha lagta Hey....... Mujhey..... Regularly Upload Hona Chhaiye......... ❤
@roushan2930,Re uploaded videos 😅
@amasha9840,Re upload - unsubscribe done ✅
@urmimalapanditdas7768,Cameraman never dies😂❤❤
@mustakimansarigaming5630,😮😮😮😮😮❤
@JayeshalkemAlkem,Regular upload primal video
@CRAFTLandminiature80.k,20 din hogaya koi episode nhi aya main tk unsubscribe karne wala hi tha 😊plz yarr humara favourite national geographic plz chanel se nivedan hai ki ese hi vdi upload kar te raho plz yarr humara Jan. Hai yeh Chanel
@francisbarreto3300,👍👍👌👌🙏👍
@SahanwajHasmi,Sir I'm waiting you video 😮
@mohdibrahim-1427,Re-uploaded😢
@Jerrydewan,Great information about Amazon
@Crazyovercrazyover,Sahi baat hai
@JunaidAli-ct2qi,"dbra nhe schn ga seedha kr dn ga unsubscribe.
agr daily epi naa i t😡😡"
@dilsadalam898,Old video
@realityworld5962,Aik hi episode bar bar
@daniyalmustafa8284,Old episodes
@nikhilshukla2043,Bhai aur koi video daal ya na daal lekin primal Survivor's ka video chahiye hamesha nhi to unsubscribe kerne me time nhi lagega kisi ko bhi.
@71.ozairkhan,Waiting for this show every day
@jonabasumatary2319,Re-upload kitna bar karoge
@imransanna6896,Old episode
@Tiwar293,Isko shoes de do koi 😂
@Lifeyshorts89,Again uploaded same episode
@imransanna6896,Sir you very late
@surajgiri7216,Waiting this video
@sufyanabrari,Bhai a to purana video he
@sufyanabrari,Bhai kab se intizar kar rha tha 😮😮
@shivendrapandey9391,"bhai kuchh naya dalo ye purana hi 

ya wear grill ki video dalo"
@Broken_Rock_ff,Phir se upload kar diya ye 😭
@skzahan1440,"My favourite primal survivor... always waiting for new episode..

Primal Lover jaldi jaldi Like karo😍"
@surajkumarsurajkumar486,You have to wear safety boots
@patel.furkan7578,Ye to dekha hua vlog hai bhai purana hai 😂😂😂
@hardeepkumar7688,Ek hi video ko kitne baar daloge yr
@vickyartist3341,Ye episode phele bhi aa chuka same episode upload kar diya 😅 me dekh chuka ye episode phele bhi
@ROBLOX_0915,Kitni baar ek h episode dalo gya 😢
@Akashthakur1423,Chuna Laga Diya re 😮😮 ye  re aplod Kiya he
@patel.furkan7578,Me bhi unsubscribe karne vala tha sach me pr aa gya primal
@actionmovie.a2z,Purana apisode bar bar dikhana band kare
@KripaShankar-wg5uw,Bahut mast video lagata inhe unsubscribe mat karo kiyu ki maine usku subscribe nahi kiya hai 😂😂😂baas video dekh ta ho aur chala jata hua
@pushkarkumar9792,Jaldi jaldi comment kar deta hu😂 like milga😅
@PrakashYadaw-t7h,Why were you not uploading the video? If you don't want to make this video then delete the channel.
@ChandermaniSarsa,Chlo yaad to aya
@Mukeshjoshi-t7i,Seems you are stupid or you doing this purposely. You don’t know how to deal with honey bee 🐝. If honey bee bit face get swelling but you don’t have. Means didn’t bite you.  Over acting
@storyworld-o9n7y,Old episode uploaded 😢😢
@Nikhil-N01,Tumara dimak karab hageya kiya
@亗PiKACHU,Same video kitna br upload krega bhi😠
@Ayushyt9336,Plz don't upload repeat episode 😢😢😢
@DEFERENTIAL80,Bhai aap akele nahi hai कैमरा man ke saat ho aap 3:35 😅😅😅😅😅
@ajaythakorofficial3723,So beautiful ❤
@dineshdora5059,We want primal survival ❤❤❤❤❤ me abhi channel unsubscribe korne Bala tha lekin tnx god ageya aur ek episode ❤❤❤
@AkkiBlogger,Yar ye dekha hua hai bhai 😢
@Jafaralsadiq-s8v,Double double video dal raha hai or kya kar sakte hai new video nahi aaraha hai 😂
@dracomusiic,Fck this chnnl.... Just kept on re uploading old videos
@sudarshansaini5518,One like 👍🏻  for camera man 👨 ❤❤
@iam_yashvin,Video re-upload mat karo please ye episode ke liye he subscribe kiye hai hum 😒
@zaidfoodcreator,This is previous episode
@kirtichauhan6262,Re-uploaded 🫤🫤🫤🫤
@Alone00786,Re-upload very sad 😔
@Jafaralsadiq-s8v,A video daily ana cahiye nahi toh chennal death ho jayega 🎉
@goldigolaGG,😅 मैंने तो अनसब्सक्राइब कर ही दिया
@Poosam19,Repeated video hai new video leke aoo☑️☑️☑️☑️☑️☑️☑️☑️☑️☑️☑️☑️☑️☑️☑️☑️⚫⚫⚫☑️☑️☑️☑️☑️☑️⚫☑️☑️☑️☑️☑️☑️☑️☑️☑️
@sunderji1776,Ye repeat Mt daalo
@dreamsumit,Purana episode phir se upload kar diya hai😂😂 popat banya sabka
@subirmandal3251,Me to unsubscribe kar hi diya tha fir se diya to kar diya lagatar dete raho nahi to unsubscribe kar denge🎉
@yogeshwadkar6589,primal surivor video ke liye bhahot wait karna padta hai plz jaldhi se upload kiya karo? one week kabhi kabhi wait karna pdta hai
@Crazyworldmusi,Latest episode dalo parimal survival k nhi unfollow mar dunga
@b.ghalan4019,hum ab koi bhi video nahi dekhunga😮😮
@VandanaJagat-ld9hs,Aapko soch k chinta ho raha ha tha
@Navneet625,Baar baar same video upload ho rha hai 😡😡
@padrikhan4281,Plz no return uploaded episode 😢
@padrikhan4281,Thanks good finaly  upload this episode hazel 🎉
@Cobragaming11111,You are so late
@SudhanshuKumar-s1f,Uploaded only primal survivor
@Mohadese-mn2ew,بااینکه تکراری است ، ولی ارزش بارهادیدن رادارد.ای کاش می توانستم مثل هیزن ازطبیعت لذت ببرم.اون مثل بچه هاازهمه چیزلذت می برد.هیزن مرددوست داشتنیست..اوواقعادوست طبیعت است..امیدوارم همیشه شادوسلامت وموفق باشد...🙏👏👏🌹🤲👏👏🙏
@film-u5v,Please upload new episode
@ChetanThandan,Naya episode dalo yr warna unsubsribe
@Darkwed-to3eh,Kis kisko adventurers life pasand hain ❤
@Rott.8200,Drone kon operate karta hai
@imNuMo,Pahle hi dekha hua h
@AltafKhan-yz3sd,Kitne time se wait kr rhe the kaha mar gye the yar 😐😐
@Gniggavaga,Download karke Hazen ko dekhte dekhte sone ka jugad ho gya 😂😂 kaun kaun aisa karta hai? 😊
@mdazad-ii2jh,Finally
@SarfuAnsari-sb1og,Salo episode nahi bana to Re Upload kar diya 😂😂😂😂😂😂
